2015-12-04 16:14:47 status unpacked libattr1:amd64 1:2.4.47-2
2015-12-04 16:14:47 install libaudit-common:all <none> 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 status half-installed libaudit-common:all 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 status unpacked libaudit-common:all 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 status unpacked libaudit-common:all 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 install libaudit1:amd64 <none> 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 status half-installed libaudit1:amd64 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 status unpacked libaudit1:amd64 1:2.3.7-1ubuntu2
2015-12-04 16:14:47 status unpacked libaudit1:amd64 1:2.3.7-1ubuntu2
2015-12-04 16:14:48 install libblkid1:amd64 <none> 2.25.2-4ubuntu2
2015-12-04 16:14:48 status half-installed libblkid1:amd64 2.25.2-4ubuntu2
2015-12-04 16:14:48 status unpacked libblkid1:amd64 2.25.2-4ubuntu2
2015-12-04 16:14:48 status unpacked libblkid1:amd64 2.25.2-4ubuntu2
2015-12-04 16:14:48 install libbz2-1.0:amd64 <none> 1.0.6-7
2015-12-04 16:14:48 status half-installed libbz2-1.0:amd64 1.0.6-7
2015-12-04 16:14:48 status unpacked libbz2-1.0:amd64 1.0.6-7
2015-12-04 16:14:48 status unpacked libbz2-1.0:amd64 1.0.6-7
2015-12-04 16:14:49 install libc-bin:amd64 <none> 2.21-0ubuntu4
2015-12-04 16:14:49 status half-installed libc-bin:amd64 2.21-0ubuntu4
2015-12-04 16:14:49 status unpacked libc-bin:amd64 2.21-0ubuntu4
2015-12-04 16:14:49 status unpacked libc-bin:amd64 2.21-0ubuntu4
2015-12-04 16:14:49 upgrade libc6:amd64 2.21-0ubuntu4 2.21-0ubuntu4
2015-12-04 16:14:49 status half-configured libc6:amd64 2.21-0ubuntu4
2015-12-04 16:14:49 status unpacked libc6:amd64 2.21-0ubuntu4
2015-12-04 16:14:49 status half-installed libc6:amd64 2.21-0ubuntu4
2015-12-04 16:14:50 status half-installed libc6:amd64 2.21-0ubuntu4
2015-12-04 16:14:52 status unpacked libc6:amd64 2.21-0ubuntu4
2015-12-04 16:14:52 status unpacked libc6:amd64 2.21-0ubuntu4
2015-12-04 16:14:52 install libcap2:amd64 <none> 1:2.24-6
2015-12-04 16:14:52 status half-installed libcap2:amd64 1:2.24-6
2015-12-04 16:14:52 status unpacked libcap2:amd64 1:2.24-6
2015-12-04 16:14:52 status unpacked libcap2:amd64 1:2.24-6
2015-12-04 16:14:52 install libcap2-bin:amd64 <none> 1:2.24-6
2015-12-04 16:14:52 status half-installed libcap2-bin:amd64 1:2.24-6
2015-12-04 16:14:53 status unpacked libcap2-bin:amd64 1:2.24-6
2015-12-04 16:14:53 status unpacked libcap2-bin:amd64 1:2.24-6
2015-12-04 16:14:53 install libcomerr2:amd64 <none> 1.42.12-1ubuntu2
2015-12-04 16:14:53 status half-installed libcomerr2:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:53 status unpacked libcomerr2:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:53 status unpacked libcomerr2:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:53 install libcryptsetup4:amd64 <none> 2:1.6.1-1ubuntu7
2015-12-04 16:14:53 status half-installed libcryptsetup4:amd64 2:1.6.1-1ubuntu7
2015-12-04 16:14:53 status unpacked libcryptsetup4:amd64 2:1.6.1-1ubuntu7
2015-12-04 16:14:54 status unpacked libcryptsetup4:amd64 2:1.6.1-1ubuntu7
2015-12-04 16:14:54 install libdb5.3:amd64 <none> 5.3.28-9
2015-12-04 16:14:54 status half-installed libdb5.3:amd64 5.3.28-9
2015-12-04 16:14:54 status unpacked libdb5.3:amd64 5.3.28-9
2015-12-04 16:14:54 status unpacked libdb5.3:amd64 5.3.28-9
2015-12-04 16:14:54 install libdebconfclient0:amd64 <none> 0.192ubuntu1
2015-12-04 16:14:54 status half-installed libdebconfclient0:amd64 0.192ubuntu1
2015-12-04 16:14:54 status unpacked libdebconfclient0:amd64 0.192ubuntu1
2015-12-04 16:14:55 status unpacked libdebconfclient0:amd64 0.192ubuntu1
2015-12-04 16:14:55 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2ubuntu1
2015-12-04 16:14:55 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2ubuntu1
2015-12-04 16:14:55 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2ubuntu1
2015-12-04 16:14:55 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2ubuntu1
2015-12-04 16:14:55 install libgcc1:amd64 <none> 1:5.1~rc1-0ubuntu1
2015-12-04 16:14:55 status half-installed libgcc1:amd64 1:5.1~rc1-0ubuntu1
2015-12-04 16:14:55 status unpacked libgcc1:amd64 1:5.1~rc1-0ubuntu1
2015-12-04 16:14:55 status unpacked libgcc1:amd64 1:5.1~rc1-0ubuntu1
2015-12-04 16:14:56 install libgcrypt20:amd64 <none> 1.6.2-4ubuntu2
2015-12-04 16:14:56 status half-installed libgcrypt20:amd64 1.6.2-4ubuntu2
2015-12-04 16:14:56 status unpacked libgcrypt20:amd64 1.6.2-4ubuntu2
2015-12-04 16:14:56 status unpacked libgcrypt20:amd64 1.6.2-4ubuntu2
2015-12-04 16:14:56 install libgpg-error0:amd64 <none> 1.17-3ubuntu1
2015-12-04 16:14:56 status half-installed libgpg-error0:amd64 1.17-3ubuntu1
2015-12-04 16:14:57 status unpacked libgpg-error0:amd64 1.17-3ubuntu1
2015-12-04 16:14:57 status unpacked libgpg-error0:amd64 1.17-3ubuntu1
2015-12-04 16:14:57 install libkmod2:amd64 <none> 18-3ubuntu1
2015-12-04 16:14:57 status half-installed libkmod2:amd64 18-3ubuntu1
